code,title,description,http_status
UNEXPECTED_ERR,Uh oh!,An Unexpected Error has occurred.,500
VALIDATION_ERR,Validation Failed,Submitted data failed validation,400
NOT_AUTHENTICATED,Authentication Required,Authentication credentials were not provided.,401
AUTHENTICATION_FAILED,Authentication Failed,The provided authentication credentials are invalid.,401
PERMISSION_DENIED,Access Denied,You do not have permission to perform this action.,403
RATE_LIMITED,Too Many Requests,Request limit exceeded. Please try again later.,429
SUCCESS,Success,Operation completed successfully.,200
CREATED,Successfully Created,Information have been saved successfully.,200
UPDATED,Successfully Updated,Information have been updated successfully.,200
INVALID_PAYLOAD,Invalid Payload,Payload does not match the accepted format,400
INVALID_METHOD,Invalid Method,Method Not Allowed.,400
